Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     59.51     0.00     1642     0.00     0.00  Bond* std::uninitialized_copy<std::move_iterator<Bond*>, Bond*>(std::move_iterator<Bond*>, std::move_iterator<Bond*>, Bond*)
  0.00     59.51     0.00     1636     0.00     0.00  Bond* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<Bond*>, Bond*>(std::move_iterator<Bond*>, std::move_iterator<Bond*>, Bond*)
  0.00     59.51     0.00     1564     0.00     0.00  __gnu_cxx::new_allocator<Bond>::allocate(unsigned long, void const*)
  0.00     59.51     0.00     1563     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     59.51     0.00     1435     0.00     0.00  std::allocator_traits<std::allocator<Bond> >::allocate(std::allocator<Bond>&, unsigned long)
  0.00     59.51     0.00     1400     0.00     0.00  void std::_Destroy<Bond*>(Bond*, Bond*)
  0.00     59.51     0.00     1377     0.00     0.00  std::allocator_traits<std::allocator<Bond> >::deallocate(std::allocator<Bond>&, Bond*, unsigned long)
  0.00     59.51     0.00     1157     0.00     0.00  Bond* std::__copy_move_a<true, Bond*, Bond*>(Bond*, Bond*, Bond*)
  0.00     59.51     0.00     1116     0.00     0.00  Bond* std::__copy_move_a2<true, Bond*, Bond*>(Bond*, Bond*, Bond*)
  0.00     59.51     0.00      517     0.00     0.00  void arma::arma_ostream::print_elem_zero<double>(std::ostream&, bool)
  0.00     59.51     0.00      332     0.00     0.00  std::allocator<int>::~allocator()
  0.00     59.51     0.00      268     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     59.51     0.00      267     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     59.51     0.00      251     0.00     0.00  int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00     59.51     0.00      238     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     59.51     0.00      236     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00     59.51     0.00      224     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     59.51     0.00      219     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     59.51     0.00      217     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00     59.51     0.00      213     0.00     0.00  std::allocator<int>::allocator()
  0.00     59.51     0.00      205     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00     59.51     0.00      172     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     59.51     0.00      165     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     59.51     0.00      162     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     59.51     0.00      161     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00     59.51     0.00      157     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::~vector()
  0.00     59.51     0.00      155     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::begin()
  0.00     59.51     0.00      142     0.00     0.00  std::_Vector_base<Coordinate, std::allocator<Coordinate> >::_Vector_base()
